n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,collision,0.647523,1.000000,1.276645,0.170281,-0.410164,0.052822,0.002064,-0.030452,-0.247583,8.62e-13
2,pr = 0,1.307832,1.100984,2.536903,1.660643,0.000000,0.040924,0.007535,-0.037443,-0.248434,8.51e-04
3,collision,1.913319,1.000000,3.475347,4.600837,-0.410368,0.029529,0.011263,-0.010713,-0.247583,1.45e-12
4,beta = 0,2.151417,1.048975,3.696273,5.546335,0.280860,0.027091,0.011497,0.000000,-0.247905,3.22e-04
5,pr = 0,2.572817,1.100949,4.174662,7.984563,0.000000,0.024156,0.009964,0.030016,-0.248445,8.62e-04
6,collision,3.178961,1.000000,4.828386,10.186074,-0.409988,0.025257,0.003515,0.051299,-0.247583,2.05e-12
7,pphi = 0,3.472349,1.071653,5.155437,10.402517,0.205438,0.025895,0.000000,0.046498,-0.248334,7.51e-04
8,pr = 0,3.752515,1.100824,5.517300,10.129205,0.000000,0.025178,-0.003000,0.032234,-0.248572,9.89e-04
9,beta = 0,4.175226,1.030975,6.019936,9.038235,-0.330816,0.019101,-0.004941,0.000000,-0.247912,3.29e-04
10,collision,4.400662,1.000000,6.106094,8.796550,-0.410037,0.016857,-0.004868,-0.006480,-0.247583,2.23e-12
11,pr = 0,4.957568,1.101347,6.344292,7.707191,0.000000,0.000287,-0.001798,-0.031748,-0.248234,6.51e-04
12,ptheta = 0,4.957568,1.101650,6.345103,7.695975,-0.006051,0.000000,-0.001729,-0.031965,-0.248010,4.27e-04
13,pphi = 0,5.278286,1.084587,6.308136,7.597399,-0.150702,-0.006980,0.000000,-0.032714,-0.248567,9.84e-04
14,collision,5.622507,1.000000,6.102957,7.829835,-0.409978,-0.018351,0.002646,-0.023270,-0.247583,2.89e-12
15,beta = 0,5.991299,1.089685,5.679379,8.526064,0.127867,-0.027865,0.003885,0.000000,-0.248092,5.09e-04
16,pr = 0,6.289898,1.101223,5.418661,8.927192,0.000000,-0.030773,0.003556,0.013843,-0.248291,7.08e-04
17,pphi = 0,6.688250,1.029728,4.693663,9.479482,-0.333734,-0.033365,0.000000,0.042500,-0.248033,4.49e-04
18,collision,6.892535,1.000000,4.541255,9.462764,-0.410005,-0.033230,-0.001140,0.046204,-0.247583,3.53e-12
19,pr = 0,7.465197,1.100797,3.685674,7.961920,0.000000,-0.030554,-0.008144,0.042438,-0.248566,9.83e-04
20,collision,8.112824,1.000000,2.874120,4.797297,-0.410426,-0.031077,-0.011969,0.008469,-0.247583,3.72e-12
21,beta = 0,8.298658,1.039310,2.679330,4.019730,0.308027,-0.032147,-0.012099,0.000000,-0.248029,4.45e-04
22,pr = 0,8.698546,1.100466,1.960818,1.250482,0.000000,-0.038065,-0.010411,-0.029514,-0.248761,1.18e-03
23,phi = 0,8.998276,1.083530,1.521749,0.000000,-0.158971,-0.042448,-0.008381,-0.039842,-0.248001,4.18e-04
24,collision,9.339852,1.000000,0.796514,-1.157804,-0.410167,-0.049317,-0.004699,-0.041061,-0.247583,3.96e-12
25,theta = 0,9.748317,1.081847,0.000000,-1.661000,0.166889,-0.054332,-0.001655,-0.028990,-0.247946,3.63e-04
26,pr = 0,9.894634,1.101327,-0.637599,-1.783274,0.000000,-0.056087,-0.000313,-0.014432,-0.248199,6.16e-04
27,pphi = 0,10.054742,1.094123,-1.002161,-1.791547,-0.093503,-0.056177,0.000000,-0.005031,-0.248773,1.19e-03
28,beta = 0,10.214850,1.086242,-1.194396,-1.791663,-0.143667,-0.056006,0.000057,-0.000000,-0.248384,8.00e-04
29,pphi = 0,10.214850,1.076331,-1.343800,-1.790327,-0.183789,-0.055665,0.000000,0.003935,-0.249042,1.46e-03
30,collision,10.559479,1.000000,-2.116251,-1.841952,-0.410160,-0.052315,-0.001053,0.023262,-0.247583,4.59e-12
31,pr = 0,11.208607,1.100707,-3.356413,-2.904113,-0.000000,-0.039709,-0.005933,0.037210,-0.248635,1.05e-03
32,collision,11.819927,1.000000,-4.236558,-5.401020,-0.410282,-0.026053,-0.010157,0.016698,-0.247583,5.11e-12
33,beta = 0,12.058798,1.069935,-4.521386,-6.785604,0.214145,-0.021256,-0.010756,-0.000000,-0.247809,2.26e-04
34,pr = 0,12.480569,1.100984,-4.804545,-8.599652,0.000000,-0.017938,-0.009793,-0.024236,-0.248424,8.41e-04
35,collision,13.086256,1.000000,-5.265459,-10.838268,-0.409969,-0.017311,-0.003816,-0.051217,-0.247583,5.71e-12
36,pphi = 0,13.379560,1.074521,-5.501723,-11.092250,0.195094,-0.017782,0.000000,-0.049451,-0.248256,6.73e-04
37,pr = 0,13.659730,1.100838,-5.738487,-10.820166,0.000000,-0.017328,0.003177,-0.038488,-0.248570,9.86e-04
