n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,phi = 0,0.771005,1.896099,-27.682668,0.000000,1.177017,-1.457486,0.468415,0.739687,2.052109,5.78e-02
2,beta = 0,0.771005,1.913674,-28.032486,-42.945972,1.182317,-1.458510,0.468973,-0.000106,2.045606,6.43e-02
3,beta = 0,1.120527,2.387293,-35.181220,-54.597219,1.264090,-1.471307,0.477951,-0.000003,2.109832,6.86e-05
4,phi = 0,1.373609,2.642355,-37.823244,0.000000,1.287538,-1.467103,0.476291,1.030402,2.109402,4.98e-04
5,phi = 0,2.113777,3.596047,-44.225336,0.000000,1.343942,-1.464713,0.473942,1.224796,2.107208,2.69e-03
6,beta = 0,2.113777,3.643449,-44.455692,-70.589311,1.345604,-1.465078,0.474139,-0.000027,2.104732,5.17e-03
7,beta = 0,2.470291,4.044058,-46.145204,-73.639094,1.356260,-1.466067,0.474968,-0.000026,2.109468,4.33e-04
8,phi = 0,2.805707,4.412111,-47.428743,0.000000,1.363567,-1.464811,0.474521,1.326239,2.109897,3.35e-06
9,phi = 0,3.421298,5.339946,-49.833220,0.000000,1.376774,-1.464716,0.474182,1.404541,2.109342,5.58e-04
10,beta = 0,3.421298,5.414954,-49.993856,-80.778754,1.377551,-1.464885,0.474267,-0.000011,2.108490,1.41e-03
11,beta = 0,3.821608,5.816398,-50.771536,-82.256853,1.380974,-1.465172,0.474505,-0.000007,2.109790,1.10e-04
12,phi = 0,4.016720,6.234731,-51.472066,0.000000,1.383837,-1.464661,0.474318,1.459080,2.109871,2.91e-05
13,phi = 0,4.639036,6.990164,-52.521208,0.000000,1.388030,-1.464575,0.474177,1.494527,2.109426,4.74e-04
14,beta = 0,4.639036,7.073855,-52.624023,-85.830749,1.388414,-1.464657,0.474211,-0.000006,2.108979,9.21e-04
15,beta = 0,5.083402,7.628649,-53.244658,-87.045356,1.390538,-1.464887,0.474363,-0.000006,2.109795,1.05e-04
16,phi = 0,5.315421,8.074224,-53.683564,0.000000,1.391934,-1.464655,0.474282,1.534308,2.109891,9.86e-06
17,phi = 0,6.046162,8.937320,-54.402537,0.000000,1.394148,-1.464691,0.474249,1.559194,2.109810,9.01e-05
18,beta = 0,6.046162,9.043784,-54.482596,-89.494906,1.394379,-1.464740,0.474272,-0.000003,2.109613,2.87e-04
19,beta = 0,6.295523,9.458657,-54.775905,-90.080633,1.395175,-1.464809,0.474325,-0.000000,2.109893,7.92e-06
20,phi = 0,6.771020,9.921268,-55.071089,0.000000,1.395938,-1.464673,0.474274,1.582531,2.109902,1.61e-06
21,phi = 0,7.504441,11.018844,-55.674587,0.000000,1.397436,-1.464742,0.474284,1.603765,2.109983,8.21e-05
22,beta = 0,7.504441,11.126507,-55.728165,-91.997448,1.397559,-1.464761,0.474295,-0.000001,2.109863,3.75e-05
23,beta = 0,7.764141,11.298164,-55.809311,-92.161906,1.397739,-1.464752,0.474297,-0.000002,2.109867,3.35e-05
24,phi = 0,8.031463,11.772283,-56.023445,0.000000,1.398207,-1.464677,0.474270,1.616113,2.109896,4.05e-06
25,phi = 0,8.823238,12.849088,-56.450785,0.000000,1.399106,-1.464722,0.474278,1.631314,2.109950,4.94e-05
26,beta = 0,8.823238,12.967961,-56.494184,-93.556168,1.399192,-1.464736,0.474286,-0.000000,2.109876,2.45e-05
27,beta = 0,9.094814,13.143205,-56.555292,-93.681206,1.399309,-1.464730,0.474286,-0.000001,2.109878,2.20e-05
28,phi = 0,9.380311,13.625661,-56.716818,0.000000,1.399614,-1.464682,0.474269,1.640820,2.109899,1.66e-06
29,phi = 0,9.941624,14.328335,-56.932787,0.000000,1.400014,-1.464680,0.474260,1.648561,2.109861,3.91e-05
30,beta = 0,9.941624,14.456395,-56.969940,-94.532018,1.400081,-1.464694,0.474265,-0.000001,2.109808,9.28e-05
