n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,beta = 0,22.534711,6.464894,79.485050,149.119269,-0.004100,-0.029976,0.009078,0.000001,-0.000216,4.97e-06
2,phi = 0,28.645983,6.437525,79.255712,0.000000,-0.005680,-0.029107,0.008165,-2.591355,0.000919,1.13e-03
3,beta = 0,28.645983,6.445007,79.308765,148.622893,-0.005333,-0.029898,0.008580,0.000000,-0.000261,5.01e-05
4,pphi = 0,45.158300,6.328394,78.820844,-143.865909,-0.008328,-0.009105,0.000000,-5.081005,-0.000214,3.47e-06
5,ptheta = 0,48.167119,6.281150,78.784884,-149.313488,-0.009032,0.000000,-0.003528,-5.174327,-0.000213,2.53e-06
6,phi = 0,56.952470,6.204523,78.851335,0.000000,-0.010696,0.010484,-0.007912,-2.571560,0.000991,1.20e-03
7,beta = 0,56.952470,6.191966,78.869881,147.391419,-0.011029,0.011585,-0.008431,0.000000,-0.000322,1.12e-04
8,beta = 0,65.255607,6.120865,78.984168,147.711507,-0.013078,0.012856,-0.009651,0.000000,-0.000212,1.38e-06
9,ptheta = 0,72.892426,5.974020,79.103140,99.694080,-0.016443,0.000000,-0.006291,-0.843885,-0.000214,2.79e-06
10,pphi = 0,82.012123,5.823545,78.965160,83.776038,-0.018353,-0.019548,-0.000000,-1.114955,-0.000217,6.55e-06
11,beta = 0,99.634109,5.465894,77.744291,144.261919,-0.024605,-0.054273,0.010168,0.000004,-0.000218,7.69e-06
12,phi = 0,106.846841,5.268320,76.958041,0.000000,-0.028756,-0.050021,0.007051,-2.480126,0.001673,1.88e-03
13,beta = 0,106.846841,5.296429,77.059235,142.377761,-0.028259,-0.051642,0.007832,0.000002,-0.000450,2.39e-04
14,pphi = 0,114.309729,5.057808,76.324637,-162.336620,-0.031906,-0.034073,0.000000,-5.283321,-0.000221,9.77e-06
15,phi = 0,120.631641,4.823129,75.924896,0.000000,-0.035745,-0.015655,-0.008214,-2.431136,0.002203,2.41e-03
16,beta = 0,120.631641,4.793193,75.892840,139.207331,-0.036367,-0.013821,-0.009117,0.000000,-0.000562,3.51e-04
17,beta = 0,128.111222,4.561049,75.729637,138.767561,-0.042561,-0.010337,-0.012574,0.000000,-0.000211,2.83e-07
18,pphi = 0,137.275848,4.035153,74.758541,89.285520,-0.056320,-0.056239,0.000000,-0.818301,-0.000222,1.12e-05
19,beta = 0,146.054029,3.488442,71.808484,128.496069,-0.075514,-0.108198,0.013412,0.000036,-0.000232,2.09e-05
20,pphi = 0,152.085346,2.984209,68.439087,158.288568,-0.100893,-0.096082,0.000000,0.666158,-0.000237,2.58e-05
21,beta = 0,157.271046,2.261971,64.709568,111.331207,-0.166841,-0.079646,-0.025109,0.000026,-0.000224,1.36e-05
22,pphi = 0,160.254804,1.581673,58.361149,80.774284,-0.304036,-0.202416,0.000000,-0.290534,-0.000117,9.35e-05
23,beta = 0,161.096686,1.243515,51.870680,84.375813,-0.449363,-0.280079,0.011417,0.000138,0.000076,2.86e-04
24,collision,161.662792,1.000000,45.624520,86.623785,-0.640171,-0.312955,0.000747,0.243147,-0.000211,1.46e-12
25,pphi = 0,161.699366,1.007468,45.415602,86.624295,0.632547,-0.313384,0.000000,0.249751,-0.000184,2.66e-05
26,beta = 0,163.784525,1.685754,27.987701,42.869845,0.234773,-0.308674,-0.061631,0.000027,-0.000261,5.05e-05
