n,event type,t,r,theta,phi,pr,ptheta,pphi,beta,E,dE,
0,init,0.0000,1.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0988,0.00e+0,
1,collision,1.9918,1.0000,0.0000,0.0000,-0.6849,0.0000,0.0000,0.0000,-0.0988,3.61e-15,
2,pr = 0,3.9837,1.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0988,-4.64e-11,
3,collision,5.9754,1.0000,0.0000,0.0000,-0.6849,0.0000,0.0000,0.0000,-0.0988,-8.05e-16,
4,pr = 0,7.9674,1.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0988,-4.64e-11,
5,collision,9.9591,1.0000,0.0000,0.0000,-0.6849,0.0000,0.0000,0.0000,-0.0988,-3.77e-15,
6,pr = 0,11.9511,1.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0988,-4.64e-11,
7,collision,13.9428,1.0000,0.0000,0.0000,-0.6849,0.0000,0.0000,0.0000,-0.0988,-2.33e-15,
8,pr = 0,15.9348,1.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0988,-4.64e-11,
9,collision,17.9265,1.0000,0.0000,0.0000,-0.6849,0.0000,0.0000,0.0000,-0.0988,-3.00e-15,
