n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,phi = 0,0.770579,1.894838,-27.677985,0.000000,1.176856,-1.458129,0.464018,0.739557,2.032008,5.92e-02
2,beta = 0,0.770579,1.912423,-28.028361,-42.939460,1.182196,-1.459143,0.464566,-0.000107,2.025438,6.57e-02
3,beta = 0,1.243744,2.398892,-35.332776,-54.850439,1.266030,-1.472293,0.473722,-0.000014,2.090914,2.66e-04
4,phi = 0,1.375748,2.657747,-37.990453,0.000000,1.289540,-1.468119,0.472089,1.035356,2.090701,4.80e-04
5,phi = 0,2.122363,3.606226,-44.298493,0.000000,1.344913,-1.465678,0.469719,1.227079,2.088259,2.92e-03
6,beta = 0,2.122363,3.653969,-44.528952,-70.720601,1.346578,-1.466045,0.469914,-0.000028,2.085793,5.39e-03
7,beta = 0,2.478299,4.072453,-46.276083,-73.877465,1.357580,-1.467108,0.470782,-0.000028,2.090733,4.48e-04
8,phi = 0,2.815797,4.445364,-47.555456,-0.000000,1.364827,-1.465880,0.470344,1.330317,2.091168,1.27e-05
9,phi = 0,3.418553,5.333521,-49.845297,0.000000,1.377377,-1.465681,0.469961,1.404940,2.090387,7.94e-04
10,beta = 0,3.418553,5.406619,-50.001809,-80.793834,1.378140,-1.465849,0.470042,-0.000012,2.089507,1.67e-03
11,beta = 0,3.817454,5.862241,-50.877128,-82.458766,1.381999,-1.466210,0.470319,-0.000010,2.091010,1.71e-04
12,phi = 0,4.015436,6.285593,-51.579112,0.000000,1.384852,-1.465718,0.470145,1.462677,2.091169,1.15e-05
13,phi = 0,4.894299,7.394295,-53.019970,-0.000000,1.390404,-1.465908,0.470138,1.511530,2.091378,1.97e-04
14,beta = 0,4.894299,7.485944,-53.122130,-86.804676,1.390752,-1.465965,0.470173,-0.000002,2.091009,1.72e-04
15,beta = 0,5.128321,7.691950,-53.336083,-87.225027,1.391444,-1.465948,0.470188,-0.000006,2.091078,1.03e-04
16,phi = 0,5.362343,8.142699,-53.772768,0.000000,1.392822,-1.465720,0.470108,1.537384,2.091171,9.56e-06
17,phi = 0,6.100440,9.014799,-54.486999,0.000000,1.395005,-1.465756,0.470077,1.562131,2.091095,8.55e-05
18,beta = 0,6.100440,9.122720,-54.566776,-89.662827,1.395232,-1.465805,0.470100,-0.000003,2.090903,2.78e-04
19,beta = 0,6.352477,9.539451,-54.856359,-90.241706,1.396012,-1.465871,0.470151,-0.000000,2.091171,9.32e-06
20,phi = 0,6.832593,10.007280,-55.149909,0.000000,1.396765,-1.465737,0.470101,1.585295,2.091182,1.69e-06
21,phi = 0,7.573579,11.119566,-55.750822,0.000000,1.398245,-1.465807,0.470111,1.606459,2.091263,8.22e-05
22,beta = 0,7.573579,11.228576,-55.804108,-92.151302,1.398366,-1.465824,0.470122,-0.000001,2.091146,3.47e-05
23,beta = 0,7.836512,11.396441,-55.882044,-92.309404,1.398538,-1.465815,0.470123,-0.000001,2.091148,3.23e-05
24,phi = 0,8.105834,11.875806,-56.094817,0.000000,1.398999,-1.465741,0.470097,1.618646,2.091177,3.74e-06
25,phi = 0,8.904649,12.968213,-56.520710,0.000000,1.399888,-1.465787,0.470105,1.633810,2.091231,4.98e-05
26,beta = 0,8.904649,13.088500,-56.563836,-93.698657,1.399972,-1.465799,0.470113,-0.000000,2.091158,2.25e-05
27,beta = 0,9.179561,13.258960,-56.622204,-93.818194,1.400083,-1.465793,0.470113,-0.000001,2.091160,2.12e-05
28,phi = 0,9.466970,13.746679,-56.782654,0.000000,1.400383,-1.465747,0.470096,1.643177,2.091179,1.39e-06
29,phi = 0,10.032979,14.461290,-56.998396,0.000000,1.400780,-1.465745,0.470087,1.650916,2.091144,3.69e-05
30,beta = 0,10.032979,14.590938,-57.035333,-94.666618,1.400846,-1.465759,0.470093,-0.000001,2.091092,8.89e-05
31,beta = 0,10.614554,15.125018,-57.180802,-94.966429,1.401094,-1.465785,0.470109,-0.000000,2.091176,4.57e-06
32,phi = 0,10.917529,15.619052,-57.305847,0.000000,1.401300,-1.465750,0.470097,1.661983,2.091184,2.79e-06
33,phi = 0,11.528168,16.590174,-57.530321,0.000000,1.401660,-1.465765,0.470097,1.670091,2.091191,9.87e-06
34,beta = 0,11.528168,16.739179,-57.562794,-95.756504,1.401710,-1.465774,0.470102,-0.000000,2.091161,2.02e-05
35,beta = 0,11.835831,16.993495,-57.616081,-95.867045,1.401790,-1.465773,0.470103,-0.000000,2.091168,1.32e-05
36,phi = 0,12.170649,17.492451,-57.716590,0.000000,1.401938,-1.465752,0.470096,1.676837,2.091181,1.41e-07
37,phi = 0,12.811783,18.368819,-57.880126,0.000000,1.402173,-1.465759,0.470095,1.682774,2.091180,8.51e-07
38,beta = 0,12.811783,18.518137,-57.906594,-96.470986,1.402210,-1.465767,0.470099,-0.000000,2.091157,2.33e-05
