n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,ptheta = 0,1.012414,1.478066,81.112009,88.779282,-0.042507,0.000000,0.038078,-1.133853,-0.014457,3.58e-04
2,beta = 0,2.226747,1.343951,77.250212,142.904633,-0.174166,-0.165680,0.085180,0.000059,-0.014460,3.61e-04
3,phi = 0,3.127407,1.134981,72.474413,0.000000,-0.329123,-0.111653,0.048197,-2.272397,0.153598,1.68e-01
4,beta = 0,3.127407,1.157153,72.810712,131.067594,-0.314545,-0.124469,0.054694,0.000030,-0.050628,3.65e-02
5,collision,3.579832,1.000000,71.201658,-175.551460,-0.420174,-0.018321,0.002530,-5.279733,-0.014099,6.73e-13
6,pphi = 0,3.634624,1.006648,71.189217,-175.548701,0.415374,-0.013059,0.000000,-5.279137,-0.014122,2.33e-05
7,ptheta = 0,3.750602,1.023336,71.174458,-175.623569,0.403562,0.000000,-0.006279,-5.279793,-0.014126,2.71e-05
8,phi = 0,4.044504,1.142552,71.889986,0.000000,0.325957,0.082051,-0.046428,-2.246270,0.145833,1.60e-01
9,beta = 0,4.044504,1.161007,72.094826,129.225700,0.314195,0.093034,-0.051971,0.000012,-0.054583,4.05e-02
10,beta = 0,4.909044,1.363064,76.128730,139.846816,0.163347,0.141913,-0.087306,0.000038,-0.014387,2.88e-04
11,ptheta = 0,6.366091,1.477360,79.039713,87.541716,0.039355,-0.000000,-0.048234,-1.052879,-0.014534,4.35e-04
12,pr = 0,7.438969,1.495490,77.016787,74.105531,0.000000,-0.151853,0.002420,-1.189545,-0.014711,6.12e-04
13,pphi = 0,7.438969,1.495592,77.219477,73.942070,0.001609,-0.144673,0.000000,-1.202093,-0.014549,4.50e-04
14,beta = 0,8.945292,1.423770,64.970844,111.954713,-0.107278,-0.358400,0.062407,0.000434,-0.014682,5.83e-04
15,pphi = 0,10.191933,1.218286,51.740691,140.567635,-0.246568,-0.295945,0.000000,0.985253,-0.014794,6.95e-04
16,collision,10.927517,1.000000,44.649677,121.068052,-0.414742,-0.138232,-0.109437,0.874978,-0.014099,1.26e-12
17,beta = 0,11.748300,1.168272,41.675148,65.669184,0.118432,-0.092799,-0.170672,0.000008,-0.015099,1.00e-03
18,pr = 0,11.947711,1.184100,40.269434,37.316435,0.000000,-0.139486,-0.158772,-0.452200,-0.016668,2.57e-03
19,phi = 0,12.346534,1.148531,36.336960,0.000000,-0.142642,-0.265799,-0.103028,-0.986628,-0.014119,2.04e-05
20,pphi = 0,12.978573,1.044923,27.218668,-16.320048,-0.246411,-0.458849,0.000000,-1.011610,-0.015540,1.44e-03
21,collision,13.255016,1.000000,22.676959,-14.702134,-0.291091,-0.531092,0.039743,-0.858344,-0.014099,3.30e-12
22,phi = 0,13.640934,1.080238,11.765506,0.000000,0.167537,-0.634364,0.095118,-0.309114,-0.016244,2.15e-03
23,beta = 0,13.793481,1.103845,6.486812,9.742552,0.105811,-0.650306,0.102253,0.000033,-0.015229,1.13e-03
24,theta = 0,14.101246,1.118457,0.000000,21.951283,0.034822,-0.636751,0.091820,0.383122,-0.016153,2.05e-03
25,pr = 0,14.255128,1.120936,-3.550341,28.103187,0.000000,-0.616645,0.078728,0.583471,-0.014923,8.24e-04
26,pphi = 0,14.602178,1.100672,-14.838683,38.561137,-0.081823,-0.489677,-0.000000,1.063703,-0.016065,1.97e-03
27,collision,15.405771,1.000000,-27.352151,7.731957,-0.255353,-0.213579,-0.160468,0.865432,-0.014099,7.33e-12
28,phi = 0,15.576852,1.017652,-28.194089,0.000000,0.210265,-0.181358,-0.176868,0.753956,-0.015989,1.89e-03
29,pr = 0,15.859279,1.051584,-30.383090,-36.914279,0.000000,-0.089845,-0.215505,0.171170,-0.018059,3.96e-03
30,beta = 0,16.008810,1.049541,-30.754819,-47.324145,-0.060240,-0.077680,-0.217674,-0.000004,-0.017045,2.95e-03
31,collision,16.466674,1.000000,-31.946081,-83.376539,-0.280237,-0.084292,-0.194102,-0.595401,-0.014099,7.22e-12
32,pphi = 0,17.480249,1.098943,-42.082186,-136.186753,0.025024,-0.361691,0.000000,-1.218332,-0.016130,2.03e-03
33,pr = 0,17.672896,1.102274,-46.416164,-133.512331,0.000000,-0.426002,0.042396,-1.036395,-0.015052,9.53e-04
34,beta = 0,18.350766,1.060631,-61.085042,-103.289606,-0.149825,-0.477011,0.103345,-0.000934,-0.016443,2.34e-03
35,collision,18.873197,1.000000,-68.432237,-85.901540,-0.251522,-0.398944,0.087296,0.596945,-0.014099,2.50e-12
36,pphi = 0,19.593809,1.125290,-77.658327,-68.897596,0.143052,-0.133721,0.000000,1.311210,-0.014721,6.22e-04
37,ptheta = 0,19.976450,1.178173,-78.863800,-74.284369,0.114199,0.000000,-0.045803,1.275662,-0.014247,1.48e-04
38,pr = 0,20.905793,1.232908,-75.171165,-114.365676,0.000000,0.205105,-0.109883,0.399755,-0.015399,1.30e-03
39,beta = 0,21.111728,1.226395,-72.964661,-131.472550,-0.054149,0.235657,-0.115296,-0.000145,-0.014929,8.30e-04
